thread index,duration in microseconds,visited nodes
1,34000,43621
1,1042,2837
1,360,1195
1,60,123
1,19122,24952
1,22489,28058
1,288,844
1,241,863
1,38,136
1,2550,4473
1,12814,19636
1,34120,39654
1,226697,93948
1,48,76
1,25419,21439
1,43,45
1,44131,47541
1,62,112
1,40,87
1,15216,22150
1,2230,4720
1,12577,17341
1,22534,18952
1,89722,41259
1,20258,26899
1,828,2400
1,0,1
1,1432,5141
1,25,33
1,94089,53149
1,49,78
1,125,248
1,4027,6307
1,39242,44152
1,50432,64122
1,959,2062
1,132,343
1,46407,26042
1,299,625
1,2009,698
1,143,396
1,84,272
1,65,159
1,116,317
1,46195,53803
1,7030,9704
1,8479,12276
1,55675,65065
1,415,906
1,26584,34639
1,66,113
1,29050,25033
1,160,318
1,65087,73210
1,375,763
1,31938,45125
1,79498,74688
1,63,100
1,44,84
1,107,229
1,58,164
1,268,642
1,36769,45760
1,19,35
1,151,367
1,18041,25796
1,0,1
1,28,53
1,46235,53529
1,4,3
1,63,109
1,28005,40759
1,81,139
1,28,48
1,10328,13024
1,50,100
1,13165,16922
1,27572,31956
1,99385,89156
1,5247,7001
1,49404,57128
1,94,153
1,33,58
1,35,62
1,636,1901
1,17576,25377
1,101311,103397
1,22638,28845
1,0,1
1,67,127
1,42093,42834
1,5554,8486
1,325,832
1,102,281
1,34702,42098
1,9687,13687
1,36,103
1,19354,27966
1,3542,5579
1,1,1
1,510,1491
1,24532,27694
1,50411,55369
1,16457,21813
1,9512,12255
1,42038,45673
1,17357,19634
1,11079,14605
1,15618,19641
1,22994,26668
1,39638,26444
1,99843,52584
1,123,210
1,55,105
1,27,52
1,18701,26690
1,80,170
1,53,111
1,88,281
1,15506,22925
1,278,610
1,4480,7300
1,7996,13294
1,13690,20257
1,3163,5298
1,42,93
1,26,32
1,189,557
1,54,91
1,1504,2897
1,1306,2525
1,89,278
1,23,68
1,44868,46600
1,1063,3822
1,10130,16069
1,9922,15000
1,111505,63967
1,16152,22368
1,28,58
1,126,334
1,30479,47569
1,18630,27350
1,12878,18988
1,7053,10940
1,40,97
1,31483,45832
1,9057,13979
1,28726,38418
1,52724,28686
1,26911,16373
1,4408,2730
1,394,1154
1,46290,24784
1,49929,47352
1,548,1632
1,10435,17640
1,84062,99165
1,23291,28173
1,42237,32146
1,60,87
1,14183,10053
1,174772,94685
1,64,120
1,20,29
1,704,2102
1,13608,26495
1,12618,16651
1,155,349
1,18,33
1,26983,35158
1,7714,12548
1,588,2179
1,27,90
1,413,1491
1,103137,92528
1,105675,47084
1,57656,26473
1,88,148
1,8476,7282
1,28609,14906
1,109949,46583
1,103737,45961
1,17,24
1,146,284
1,99,251
1,40839,18972
1,3391,79
1,22570,13771
1,113507,48204
1,27659,15854
1,48,92
1,80,223
1,30,81
1,58,131
1,8858,8452
1,1880,542
1,19761,12053
1,67,102
1,118994,47277
1,104586,59090
1,331,779
1,11094,14395
1,25464,28799
1,299,650
1,176640,106577
1,17706,21298
1,32921,37267
1,14156,19211
1,586,1403
1,26604,31071
1,77175,35014
1,26,48
1,90,181
1,105,213
1,55,139
1,134011,71127
1,52834,50653
1,13609,18349
1,39,71
1,1275,3935
1,17763,24161
1,5924,9077
1,789,2199
1,2898,5077
1,15968,23872
1,61,143
1,1135,2973
1,110557,48161
1,25482,15161
1,990,2672
1,1024,3418
1,91,237
1,38071,19801
1,26976,33995
1,124,223
1,36,66
1,252,848
1,22639,31790
1,59363,70961
1,69,118
1,11575,16542
1,109,239
1,115647,51729
1,457,939
1,75,179
1,20153,10980
1,286,785
1,90719,71592
1,54850,63263
1,112720,109883
1,20,22
1,143,337
1,55,111
1,22,47
1,128877,117421
1,138,211
1,114,348
1,428,1194
1,47243,48662
1,45263,54638
1,39689,44411
1,4927,6589
1,38750,42298
1,18852,22172
1,49741,52057
1,47632,46726
1,23,33
1,24280,28848
1,0,1
1,28656,33887
1,19276,27596
1,97,164
1,24077,28553
1,0,1
1,10753,13008
1,49803,60501
1,41741,46176
1,423,917
1,62,170
1,14155,19688
1,12131,15958
1,26664,30307
1,29920,36484
1,114,178
1,651,1626
1,11354,15447
1,27,45
1,17278,22562
1,47750,26768
1,115,187
1,238,560
1,20478,12451
1,113878,72451
1,689,2126
1,110,184
1,62253,69152
1,17001,20638
1,18204,21525
1,233,568
1,67,177
1,23,54
1,12286,16508
1,1,1
1,10,8
1,12080,16679
1,12003,15389
1,49,87
1,54529,66946
1,0,1
1,221,514
1,4131,5899
1,25115,30119
1,53,83
1,53,101
1,34,80
1,64713,76989
1,1505,2311
1,11641,15948
1,108,219
1,8345,12193
1,13465,17150
1,54,83
1,96,188
1,26863,39543
1,23999,26668
1,17938,23026
1,3403,5125
1,1223,3817
1,87774,35050
1,22416,23997
1,97861,97268
1,1665,4763
1,74,180
1,29285,32143
1,48,73
1,8520,12235
1,53076,63221
1,21057,26717
1,91,164
1,37399,40576
1,36192,44610
1,29694,34349
1,12131,16889
1,21933,28526
1,40336,46733
1,8151,11311
1,125,266
1,34954,42319
1,41361,45720
1,128503,109364
1,92,150
1,357,991
1,17937,23713
1,24706,28602
1,19909,23835
1,34379,36560
1,50,67
1,0,1
1,34,55
1,38,60
1,107,247
1,458,1253
1,13,34
