thread index,duration in microseconds,visited nodes
1,45,164
1,172,642
1,29342,44851
1,20,35
1,202,367
1,17024,25445
1,0,1
1,30,53
1,38766,52553
1,3,3
1,44,109
1,26333,39229
1,61,139
1,19,48
1,7504,13018
1,36,100
1,10064,16826
1,20108,31367
1,59178,83796
1,4241,7001
1,44070,56167
1,69,153
1,21,58
1,24,62
1,473,1901
1,14631,25354
1,74211,99716
1,18509,28595
1,0,1
1,48,127
1,31188,41523
1,4452,8484
1,172,832
1,78,281
1,27227,41194
1,8248,13628
1,34,103
1,17104,27243
1,2876,5576
1,0,1
1,326,1491
1,17854,27341
1,38841,54281
1,12130,21536
1,7010,12057
1,33359,45082
1,12415,19700
1,8821,14572
1,11808,19641
1,16283,26345
1,16385,26162
1,35524,51139
1,78,210
1,39,105
1,21,52
1,16382,26477
1,70,170
1,42,111
1,68,281
1,13938,22826
1,205,610
1,4047,7218
1,7095,13281
1,11953,20210
1,2422,5298
1,34,93
1,22,32
1,150,557
1,44,91
1,1161,2897
1,1037,2525
1,64,278
1,14,68
1,29657,45081
1,827,3822
1,8687,15994
1,8745,14780
1,40771,60322
1,13563,22338
1,24,58
1,111,334
1,25354,44658
1,18284,27009
1,10427,18988
1,6024,10940
1,30,97
1,27861,45412
1,7856,13875
1,26297,37871
1,17286,28506
1,9257,16228
1,643,2730
1,261,1154
1,15767,24693
1,34791,45970
1,560,1632
1,10638,17558
1,72046,93469
1,17210,27463
1,20715,31514
1,46,87
1,5148,10053
1,65784,88976
1,50,120
1,15,29
1,570,2102
1,11612,25006
1,9781,16639
1,87,349
1,13,33
1,20918,34589
1,6496,12509
1,494,2179
1,15,90
1,268,1491
1,60458,85948
1,30259,46056
1,14930,26125
1,62,148
1,3651,7276
1,8033,14806
1,29945,45900
1,31669,45200
1,14,24
1,105,284
1,75,251
1,10354,18533
1,34,79
1,7749,13753
1,35374,47780
1,9174,15854
1,33,92
1,79,223
1,24,81
1,39,131
1,4259,8452
1,153,542
1,6492,12053
1,49,102
1,35073,46445
1,33361,53443
1,252,779
1,8643,13966
1,18037,28415
1,199,650
1,75796,100472
1,13822,20812
1,26001,37023
1,12319,19208
1,326,1403
1,16546,30352
1,22813,34633
1,26,48
1,64,181
1,75,213
1,42,139
1,46163,68163
1,39224,49217
1,10999,18125
1,25,71
1,910,3935
1,14754,24140
1,4778,9070
1,488,2199
1,2431,5077
1,13812,23830
1,58,143
1,695,2973
1,32650,46580
1,8710,15161
1,753,2672
1,898,3418
1,69,237
1,11214,19799
1,20948,32557
1,84,223
1,29,66
1,210,848
1,19606,31413
1,44290,65007
1,43,118
1,8343,16123
1,86,239
1,36398,50066
1,304,939
1,54,179
1,6529,10916
1,202,785
1,44389,66113
1,44276,60871
1,87095,104005
1,14,22
1,119,337
1,38,111
1,20,47
1,100915,113132
1,87,211
1,87,348
1,302,1194
1,37505,48003
1,37846,51874
1,30287,43452
1,3869,6569
1,31206,41591
1,13677,21993
1,39435,51326
1,33526,45286
1,18,33
1,19890,28665
1,0,1
1,20800,33528
1,15900,27369
1,68,164
1,18731,28335
1,0,1
1,8024,12987
1,38524,58145
1,33350,45788
1,304,917
1,50,170
1,12162,19776
1,10436,15957
1,18699,30185
1,25377,35593
1,68,178
1,467,1626
1,9083,15376
1,21,45
1,13458,22484
1,15460,25719
1,78,187
1,171,560
1,6564,12382
1,50641,67525
1,537,2126
1,84,184
1,49530,66507
1,14010,20355
1,14278,21584
1,144,568
1,50,177
1,48,54
1,9606,16460
1,0,1
1,8,8
1,9774,16601
1,9192,15408
1,20,87
1,44235,62939
1,0,1
1,176,514
1,3167,5893
1,17205,29054
1,45,83
1,39,101
1,29,80
1,52015,70711
1,983,2311
1,9547,15731
1,82,219
1,6735,12193
1,11955,17149
1,41,83
1,62,188
1,23955,37803
1,19094,26329
1,14235,22859
1,3097,5125
1,1113,3817
1,22777,34291
1,16234,23679
1,75096,90827
1,1143,4763
1,53,180
1,21317,31046
1,32,73
1,6883,12158
1,43431,61790
1,14866,25693
1,62,164
1,28766,40415
1,29348,42678
1,25625,33208
1,10553,16714
1,18351,28109
1,33313,45748
1,6338,11227
1,78,266
1,26211,40787
1,33155,44790
1,91051,103207
1,82,150
1,229,991
1,15181,23655
1,19754,28234
1,13998,23562
1,24810,35816
1,34,67
1,1,1
1,21,55
1,29,60
1,94,247
1,315,1253
1,10,34
1,197,738
1,11676,20120
1,891,3263
1,24,108
1,33,87
1,61,261
1,41,151
1,18638,26939
1,3720,6118
1,54351,66113
1,15771,24663
1,13,25
1,44,96
1,7343,12514
1,77629,93243
1,55,107
1,3978,7712
1,56671,72774
1,27153,41469
1,53,106
1,17610,28452
1,28255,40125
1,7825,11236
1,85,222
1,5797,10323
1,0,1
1,0,1
1,33780,48012
1,127,435
1,108,319
1,54,186
1,31,72
1,76,299
1,12,26
1,41,148
1,37,109
1,19378,30973
1,10410,16603
1,283,1079
1,14,34
1,97100,112134
1,97341,105358
1,53937,68020
1,64,127
1,10547,19847
1,207,547
1,0,1
1,45,129
1,17287,26568
1,12611,22172
1,20516,32557
1,38407,48054
1,36455,53140
1,0,1
1,38971,54604
1,9525,15175
1,927,1894
1,45327,59307
1,9319,15600
1,62,146
1,27886,39541
1,12726,21942
1,60,132
1,9847,16804
1,27324,40009
1,5865,10488
1,6,18
1,157,439
1,7579,12421
1,92,243
1,37,122
1,71867,92279
1,11792,19045
1,20289,32791
1,5497,9882
1,1151,4952
1,18120,30572
1,70533,93783
1,370,1081
1,35895,51608
1,35930,50276
1,18,34
1,28371,42049
1,7344,12674
1,39,95
1,29,79
1,25815,40505
1,18890,30843
1,594,2555
2,86,146
2,57594,43312
2,16028,21957
2,91246,96638
2,370,886
2,48777,58228
2,34981,37358
2,80,157
2,46,111
2,16725,23786
2,39,59
2,643,2322
2,13943,23989
2,127,376
2,56,140
2,34546,49470
2,54,103
2,971,4718
2,4899,9300
2,96,374
2,874,1864
2,11,33
2,63,249
2,24,93
2,451,2280
2,29776,45233
2,38,94
2,72,144
2,7175,12350
2,10679,19640
2,12,32
2,47,100
2,15,34
2,11054,18726
2,12,14
2,19505,27446
2,0,1
2,4927,9499
2,7369,12837
2,40254,55903
2,45,113
2,11153,20484
2,286,1161
2,45,223
2,20770,32355
2,8,12
2,37662,60270
2,34913,56514
2,25648,42014
2,248,981
2,42172,68018
2,175,567
2,14692,26023
2,11165,19151
2,29600,43506
2,87,223
2,9656,15869
2,48,115
2,9573,17381
2,67,179
2,889,3903
